Student_ID,Attendance_Rate(%),Study_Hours_Per_Day,Previous_Marks,Assignment_Score,Quiz_Score,Class_Participation(1-10),Sleep_Hours_Per_Day,Stress_Level(1-10),Internet_Access(0/1),Parental_Support(1-5),Final_Score,Result
328,81.1,1.1,59.5,28.1,61.6,10,7.6,3,1,1,48.9,Fail
329,70.7,6.6,49.8,82.8,59.8,10,5.2,5,0,3,58.0,Pass
330,42.4,5.5,44.5,94.6,46.4,1,4.1,2,0,5,45.6,Fail
331,80.1,2.3,36.3,60.9,77.9,2,9.4,4,1,3,51.5,Pass
332,88.8,8.9,89.7,48.8,74.1,7,8.4,2,0,1,71.8,Pass
333,91.1,7.0,41.9,48.6,55.0,10,5.6,2,1,3,62.1,Pass
334,97.7,3.4,57.0,88.1,84.0,3,4.7,1,0,1,64.2,Pass
335,65.0,6.3,86.2,74.3,34.5,7,8.7,10,0,2,54.5,Pass
336,93.3,5.0,34.4,72.4,21.0,9,8.6,10,0,3,51.4,Pass
337,71.1,7.2,73.3,54.6,78.1,8,6.1,7,0,5,64.4,Pass
338,40.7,9.4,65.4,57.5,59.7,3,4.4,8,1,2,50.8,Pass
339,59.9,3.5,65.5,64.0,50.3,4,4.5,8,1,1,50.6,Pass
340,47.1,5.5,75.7,28.2,53.0,9,7.3,2,1,5,51.9,Pass
341,73.7,6.9,61.9,47.3,86.0,4,9.1,6,1,3,60.6,Pass
342,85.6,3.0,53.9,86.4,97.2,5,7.3,6,0,1,57.2,Pass
343,93.8,5.4,87.5,79.4,52.7,5,7.7,4,0,4,68.7,Pass
344,51.4,4.0,83.0,23.7,70.7,10,4.7,8,1,5,57.3,Pass
345,97.4,2.2,64.9,62.4,23.9,7,9.0,8,0,5,56.1,Pass
346,46.2,6.9,72.4,45.7,90.5,7,9.9,4,1,4,65.9,Pass
347,97.8,9.7,61.7,30.7,53.0,9,5.8,9,1,5,62.9,Pass
348,77.5,3.6,54.2,73.8,98.5,3,7.0,6,0,3,54.4,Pass
349,73.7,6.2,96.0,76.8,73.9,9,5.7,7,0,5,70.3,Pass
350,43.2,1.5,48.7,82.8,98.7,5,4.9,1,1,2,53.0,Pass
351,85.2,1.3,87.0,28.2,89.4,9,9.2,9,1,2,52.6,Pass
352,81.8,7.2,33.3,50.5,53.3,6,9.8,1,0,3,55.0,Pass
353,52.2,8.8,90.2,55.4,38.0,6,8.5,9,0,2,56.8,Pass
354,81.0,2.7,42.2,61.1,50.2,7,5.7,5,0,2,49.3,Fail
355,75.0,3.3,53.1,76.8,32.4,3,9.6,10,0,5,50.0,Pass
356,87.4,6.0,35.1,76.6,62.0,3,7.1,9,0,4,51.2,Pass
357,72.6,4.6,54.5,90.7,73.1,6,6.2,4,1,5,66.1,Pass
358,40.5,7.0,61.2,92.4,69.1,10,5.5,1,1,4,55.9,Pass
359,95.0,9.5,57.0,63.2,42.6,9,8.9,6,1,4,75.1,Pass
360,51.6,5.6,96.4,33.4,96.5,9,7.2,2,0,2,62.3,Pass
361,91.9,4.8,37.3,63.0,76.2,7,7.9,2,0,1,54.4,Pass
362,45.3,1.5,85.6,64.6,66.0,4,9.5,7,1,4,53.3,Pass
363,77.8,4.9,31.2,73.9,62.8,10,4.4,10,0,1,46.9,Fail
364,57.4,7.2,72.5,42.5,94.1,7,6.4,1,1,2,65.3,Pass
365,72.0,2.2,57.4,83.8,63.7,3,5.8,6,0,5,52.7,Pass
366,42.5,6.2,57.6,63.8,26.8,4,8.5,6,0,4,45.2,Fail
367,94.3,8.7,40.0,34.7,69.4,5,5.2,3,0,5,54.0,Pass
368,57.4,1.6,36.9,78.0,59.0,6,6.1,4,0,3,45.0,Fail
369,77.2,9.1,52.2,56.1,69.3,5,8.2,3,1,3,65.9,Pass
370,58.8,8.1,79.9,71.3,42.1,6,4.8,6,1,4,61.3,Pass
371,66.7,8.0,64.1,28.7,71.6,2,9.1,3,0,3,54.4,Pass
372,83.6,9.0,89.5,70.5,85.0,10,6.4,10,0,1,66.6,Pass
373,73.1,5.9,99.9,57.8,82.0,6,6.4,10,1,2,61.8,Pass
374,63.8,5.5,76.4,87.8,84.5,10,8.1,9,0,4,64.8,Pass
375,49.6,6.1,69.6,89.8,31.7,8,9.6,1,0,4,59.8,Pass
376,54.0,7.0,66.3,83.3,51.0,8,9.3,1,1,1,66.0,Pass
377,82.2,5.7,88.1,86.8,41.1,9,7.4,7,1,3,63.2,Pass
378,44.7,3.3,98.1,37.8,52.5,6,6.9,8,0,5,45.5,Fail
379,92.9,5.0,46.1,61.2,42.5,3,5.1,6,0,2,48.3,Fail
380,46.8,7.1,63.5,67.3,71.8,7,4.1,1,0,5,58.4,Pass
381,75.5,2.2,65.9,91.3,31.7,3,5.5,3,1,5,60.4,Pass
382,92.7,7.6,87.5,95.8,37.3,10,10.0,8,0,2,71.5,Pass
383,89.8,6.4,85.6,85.6,34.6,9,5.6,6,1,5,68.5,Pass
384,63.1,2.0,44.2,88.8,60.3,7,9.0,10,0,2,46.4,Fail
385,68.6,6.5,32.7,82.7,60.3,2,4.6,3,0,4,49.0,Fail
386,42.6,5.8,46.1,84.2,83.2,7,6.1,10,0,4,50.1,Pass
387,48.0,5.3,46.3,88.7,42.7,9,6.5,4,0,1,49.2,Fail
388,40.4,6.9,78.1,45.3,49.0,3,6.6,10,1,3,49.0,Fail
389,91.3,4.8,55.6,42.0,74.4,4,6.5,9,1,2,52.3,Pass
390,55.2,3.8,54.1,76.4,78.9,2,8.5,8,0,1,51.3,Pass
391,52.9,4.6,53.7,64.0,75.8,1,5.0,1,0,2,44.7,Fail
392,45.3,3.4,56.0,68.7,78.0,7,7.7,9,1,5,52.0,Pass
393,43.4,8.0,42.3,59.5,20.9,9,5.7,1,0,5,49.4,Fail
394,54.4,1.0,41.0,99.7,82.4,6,8.0,7,0,5,50.0,Pass
395,40.9,7.3,94.3,64.0,78.1,9,9.5,6,1,3,67.0,Pass
396,67.3,4.6,30.3,34.0,60.5,9,4.4,5,1,1,52.8,Pass
397,88.2,9.6,91.3,85.1,66.0,8,9.8,10,1,2,77.7,Pass
398,67.5,5.1,71.1,22.2,29.3,2,6.3,4,0,3,37.3,Fail
399,64.7,4.2,67.5,76.1,41.1,5,4.6,6,0,5,55.2,Pass
400,61.2,9.0,48.8,95.8,74.6,4,7.0,4,0,2,60.2,Pass
